id,count
0,106.0
1,148.0
2,114.0
4,49.0
5,64.0
10,129.0
11,5.0
12,300.0
15,15.0
17,134.0
18,271.0
23,248.0
25,121.0
26,20.0
31,214.0
39,161.0
40,29.0
41,213.0
42,431.0
43,133.0
51,215.0
52,106.0
54,17.0
60,138.0
61,155.0
62,119.0
63,46.0
65,118.0
66,115.0
68,181.0
71,30.0
80,30.0
82,137.0
94,97.0
98,278.0
101,49.0
102,156.0
107,5.0
112,287.0
113,6.0
115,137.0
116,121.0
120,56.0
121,23.0
122,324.0
132,244.0
143,6.0
147,137.0
150,23.0
151,80.0
152,215.0
153,94.0
155,222.0
156,92.0
159,256.0
161,51.0
163,20.0
177,284.0
186,2.0
188,16.0
190,106.0
191,81.0
192,304.0
195,331.0
200,140.0
209,310.0
210,9.0
211,173.0
214,5.0
215,14.0
218,95.0
219,50.0
222,38.0
225,17.0
228,317.0
236,256.0
241,37.0
242,127.0
243,317.0
245,15.0
247,252.0
251,165.0
252,103.0
253,89.0
254,109.0
258,293.0
260,137.0
261,184.0
265,137.0
266,252.0
267,293.0
269,133.0
270,137.0
275,92.0
278,52.0
279,78.0
286,117.0
287,30.0
288,315.0
289,137.0
293,19.0
294,127.0
297,137.0
302,137.0
303,12.0
304,93.0
307,109.0
309,15.0
311,180.0
312,137.0
314,173.0
315,317.0
319,153.0
322,119.0
323,137.0
325,97.0
327,252.0
330,52.0
332,284.0
333,19.0
338,92.0
341,132.0
345,213.0
348,339.0
349,52.0
350,129.0
352,137.0
355,23.0
356,123.0
358,137.0
363,121.0
369,226.0
371,23.0
372,161.0
375,278.0
380,115.0
388,44.0
391,161.0
392,293.0
393,425.0
394,267.0
396,34.0
401,49.0
407,137.0
409,78.0
410,129.0
416,42.0
418,129.0
420,168.0
421,237.0
422,161.0
424,317.0
428,431.0
429,172.0
431,5.0
435,3.0
439,129.0
441,3.0
447,78.0
449,229.0
451,133.0
452,16.0
454,262.0
458,172.0
463,137.0
467,9.0
470,304.0
471,133.0
474,310.0
478,16.0
483,135.0
484,91.0
485,94.0
486,114.0
491,87.0
494,74.0
495,278.0
497,214.0
499,176.0
515,92.0
518,221.0
521,56.0
525,168.0
529,257.0
532,138.0
534,137.0
540,137.0
544,278.0
547,133.0
549,44.0
